scheduler,signed_ss_error_mean,signed_ss_error_std,mean_abs_ss_error_mean,mean_abs_ss_error_std,settling_time_epochs_mean,settling_time_epochs_std,settling_time_epochs_success_rate,settling_time_epochs_settled_mean,max_overshoot_mean,max_overshoot_std,queue_variance_ss_mean,queue_variance_ss_std
FCFS,-19113.85145837512,37.33357858914787,19113.85145837512,37.33357858914787,-1.0,0.0,0.0,nan,19608.21417557936,37.492852064752306,333187.31725135894,3289.0539291896807
RoundRobin,-21063.466312537585,33.60022073024182,21063.466312537585,33.60022073024182,-1.0,0.0,0.0,nan,21607.3927580214,33.743566858284865,403185.09976919217,3256.362716834883
PID_Tustin,0.009437464845286049,0.02639616407705089,1.0537518082598027,0.05337699168509151,13.5,12.501111061732784,1.0,13.5,8.327170509723041,0.4564313431750265,1.6298886762814704,0.18177931717293538
AZFS,0.0054414060270689575,0.017960640625825267,1.3979081077502291,0.08181483828392931,227.8,148.55885477928717,1.0,227.8,8.116046965774146,0.9514416306554389,2.944598680732311,0.28948593002257034
